ChangeType,SourceCodeEntity,SourceCodeChange,NewSourceCodeEntity,argouml,jedit,jdt
PARENT_CLASS_CHANGE,SINGLE_TYPE,Update,QUALIFIED_TYPE,0.00677002234107373,0,0.0375600961538462
PARENT_CLASS_CHANGE,SINGLE_TYPE,Update,SINGLE_TYPE,3.42563130458331,1.55941925076179,0.540865384615385
PARENT_CLASS_DELETE,SINGLE_TYPE,Delete,,0.0338501117053686,0.23301666965406,0.0563401442307692
PARENT_CLASS_INSERT,PARAMETERIZED_TYPE,Insert,,0.00677002234107373,0.0537730776124754,0
PARENT_CLASS_INSERT,SINGLE_TYPE,Insert,,0.487441608557308,0.340562824879011,0.1953125
PARENT_INTERFACE_CHANGE,SINGLE_TYPE,Update,SINGLE_TYPE,0.277570915984023,0,0.0563401442307692
PARENT_INTERFACE_DELETE,PARAMETERIZED_TYPE,Delete,,0.00677002234107373,0.0179243592041585,0
PARENT_INTERFACE_DELETE,QUALIFIED_TYPE,Delete,,0.0203100670232212,0.0358487184083169,0.0150240384615385
PARENT_INTERFACE_DELETE,SINGLE_TYPE,Delete,,2.03100670232212,1.48772181394515,0.687349759615385
PARENT_INTERFACE_INSERT,PARAMETERIZED_TYPE,Insert,,0.0541601787285898,0.268865388062377,0.00375600961538462
PARENT_INTERFACE_INSERT,SINGLE_TYPE,Insert,,1.97684652359353,1.45187309553683,0.390625
REMOVING_ATTRIBUTE_MODIFIABILITY,MODIFIER,Insert,,2.70800893642949,6.70371034235526,0.728665865384615
REMOVING_METHOD_OVERRIDABILITY,MODIFIER,Insert,,0.182790603208991,0.627352572145546,1.04792668269231
RETURN_TYPE_CHANGE,ARRAY_TYPE,Update,ARRAY_TYPE,0.148940491503622,0.125470514429109,0.356820913461538
RETURN_TYPE_CHANGE,SINGLE_TYPE,Update,SINGLE_TYPE,8.38128765824927,4.51693851944793,3.74474158653846
RETURN_TYPE_DELETE,SINGLE_TYPE,Delete,,1.39462460226119,1.18300770747446,0.413161057692308
RETURN_TYPE_INSERT,SINGLE_TYPE,Insert,,0.412971362805497,0.663201290553863,0.68359375
